Result,match_number,team,opponent,toss_decision,gender,season,team_score,team_wickets,winner,toss_winner,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
win,23,Manchester Originals,Trent Rockets,bat,male,2023,181,6,Manchester Originals,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,23,Trent Rockets,Manchester Originals,field,male,2023,171,5,Manchester Originals,Trent Rockets,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,24,London Spirit,Northern Superchargers,bat,male,2023,160,6,London Spirit,Northern Superchargers,yes,"Lord's, London London",no,,,,
lose,24,Northern Superchargers,London Spirit,field,male,2023,147,7,London Spirit,Northern Superchargers,no,"Lord's, London London",yes,,,,
win,25,Trent Rockets,Birmingham Phoenix,bat,male,2023,162,6,Trent Rockets,Birmingham Phoenix,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,25,Birmingham Phoenix,Trent Rockets,field,male,2023,116,9,Trent Rockets,Birmingham Phoenix,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,26,Oval Invincibles,Southern Brave,bat,male,2023,139,7,Oval Invincibles,Oval Invincibles,no,"The Rose Bowl, Southampton Southampton",yes,,,,
lose,26,Southern Brave,Oval Invincibles,field,male,2023,131,7,Oval Invincibles,Oval Invincibles,yes,"The Rose Bowl, Southampton Southampton",no,,,,
win,27,Manchester Originals,Northern Superchargers,bat,male,2023,164,6,Manchester Originals,Manchester Originals,yes,"Old Trafford, Manchester Manchester",yes,,,,
lose,27,Northern Superchargers,Manchester Originals,field,male,2023,83,0,Manchester Originals,Manchester Originals,no,"Old Trafford, Manchester Manchester",no,,,,
lose,28,London Spirit,Welsh Fire,bat,male,2023,109,9,Welsh Fire,London Spirit,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,28,Welsh Fire,London Spirit,field,male,2023,110,4,Welsh Fire,London Spirit,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
lose,29,Trent Rockets,Oval Invincibles,bat,male,2023,148,7,Oval Invincibles,Trent Rockets,no,"Kennington Oval, London London",yes,,,,
win,29,Oval Invincibles,Trent Rockets,field,male,2023,151,5,Oval Invincibles,Trent Rockets,yes,"Kennington Oval, London London",no,,,,
lose,30,Northern Superchargers,Welsh Fire,bat,male,2023,158,7,Welsh Fire,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
win,30,Welsh Fire,Northern Superchargers,field,male,2023,159,2,Welsh Fire,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
lose,31,Manchester Originals,Southern Brave,bat,male,2023,130,8,Southern Brave,Southern Brave,yes,"Old Trafford, Manchester Manchester",no,,,,
win,31,Southern Brave,Manchester Originals,field,male,2023,134,4,Southern Brave,Southern Brave,no,"Old Trafford, Manchester Manchester",yes,,,,
win,32,Birmingham Phoenix,London Spirit,bat,male,2023,180,5,Birmingham Phoenix,London Spirit,yes,"Edgbaston, Birmingham Birmingham",no,,,,
lose,32,London Spirit,Birmingham Phoenix,field,male,2023,108,0,Birmingham Phoenix,London Spirit,no,"Edgbaston, Birmingham Birmingham",yes,,,,
lose,40,Southern Brave,Manchester Originals,bat,male,2023,196,1,Manchester Originals,Manchester Originals,no,"Kennington Oval, London London",yes,,,,
win,40,Manchester Originals,Southern Brave,field,male,2023,201,3,Manchester Originals,Manchester Originals,no,"Kennington Oval, London London",no,,,,
win,50,Oval Invincibles,Manchester Originals,bat,male,2023,161,5,Oval Invincibles,Manchester Originals,no,"Lord's, London London",yes,,,,
lose,50,Manchester Originals,Oval Invincibles,field,male,2023,147,6,Oval Invincibles,Manchester Originals,no,"Lord's, London London",no,,,,
